code,iso,country,year,ACCESS,ACSAT,AGSUB,AZE,CHMORT,CLIMATE,CO2GDPd1,CO2GDPd2,CO2KWH,FORCH,FSOC,HAP,MPAEEZ,PACOVD,PACOVW,PM25,PM25EXBL,POPS,TCEEZ,WASTECXN,WATSUP,EH_AirQuality,EH_HealthImpacts,EH_WaterSanitation,EV_Agriculture,EV_BiodiversityHabitat,EV_ClimateEnergy,EV_Fisheries,EV_Forests,EV_WaterResources,EH,EV,EPI
752,SWE,Sweden,2005,100,100,17.23,NA,100,77.34,77.67,29.51,76.93,14.35,10.71,95,88.54,45.16,48.34,100,96.4,92,37.9,87.86,100,97.13,100,100,54.62,60.68,77.34,24.31,14.35,87.86,99.04,63.07,77.46
756,CHE,Switzerland,2005,100,100,0,NA,99.55,78.14,67.91,38.47,98.63,49.65,NA,95,NA,97.79,99,73.33,45.32,92,NA,96.95,100,71.22,99.55,100,46,97.79,78.14,-911,49.65,96.95,90.26,83.87,86.43
760,SYR,Syria,2005,90,50.1,100,NA,79.97,59.1,35.2,69.32,39.05,3.3,0,97.5,63.28,3.76,3.28,79.27,54.68,84,0,82.17,39.83,77.15,79.97,44.96,92,23.44,59.1,0,3.3,82.17,67.36,46.11,54.61
999,TWN,Taiwan,2005,100,100,7.07,NA,89.68,57.69,64.79,46.67,48.45,49.65,17.92,100,47.54,67.65,67.65,69.3,43.53,72,31.39,4.59,100,70.94,89.68,100,39.53,60.95,57.69,24.66,49.65,4.59,86.87,40.21,58.88
762,TJK,Tajikistan,2005,99.5,52.35,100,NA,41.85,NA,NA,NA,NA,NA,NA,53.5,NA,24.28,33.94,93.57,75.9,44,NA,2.25,12.83,74.32,41.85,32.59,72,24.28,-911,-911,-911,2.25,49.59,18.61,31
834,TZA,Tanzania,2005,12,0,100,35,26.48,NA,NA,NA,NA,14.9,27.18,5,81.91,99.86,99.72,100,100,88,50.25,0.42,7.65,68.33,26.48,3.83,94,79.12,-911,38.72,14.9,0.42,32.88,39.93,37.11
764,THA,Thailand,2005,98,55.07,100,NA,84.43,46.05,42.41,42.91,52.4,25.34,50.2,65.5,82.35,74.14,47.62,79.63,53.6,92,16.36,16,54.38,66.24,84.43,54.72,96,68.04,46.05,33.28,25.34,16,68.46,43.18,53.3
626,TLS,Timor-Leste,2005,36,7.12,100,NA,40.32,NA,NA,NA,NA,31.35,23.42,8,0,20.16,20.16,100,100,0,98.92,0.3,11.5,69.33,40.32,9.31,50,13.44,-911,61.17,31.35,0.3,39.65,20.25,28.01
768,TGO,Togo,2005,22.5,0,100,NA,22.49,NA,NA,NA,NA,28.15,0,4,0,66.28,66.41,100,92.81,84,0,0,8.62,65.6,22.49,4.31,92,44.23,-911,0,28.15,0,30.8,24.63,27.1
776,TON,Tonga,2005,89,52.36,100,NA,69.99,41.88,7.52,43.04,NA,NA,20.45,50.5,82.08,94.2,94.2,100,100,4,82.77,27.06,80.28,83.5,69.99,66.32,52,90.16,41.88,51.61,-911,27.06,73.27,52.82,61
780,TTO,Trinidad and Tobago,2005,97,51.22,NA,100,60.25,32.54,26.96,11.34,51.79,17.88,33.96,96.5,45.68,96.18,92.05,100,100,96,50.12,5.25,50.92,98.83,60.25,51.07,96,83.48,32.54,42.04,17.88,5.25,70.05,41.11,52.69
788,TUN,Tunisia,2005,97.5,38.96,100,NA,84.98,54.38,66.86,47.71,66.57,100,24.53,97,67.02,7.4,18.81,100,93.88,76,26.71,27.77,49.49,96.96,84.98,44.22,88,31.08,54.38,25.62,100,27.77,75.39,45.27,57.32
792,TUR,Turkey,2005,100,44.12,13.91,25,59.26,46.52,55.37,40.62,43.4,52.35,25.68,93.5,75.4,13.55,14.12,89.35,67.99,88,25.22,48.93,64.23,83.61,59.26,54.18,50.96,32.02,46.52,25.45,52.35,48.93,65.68,42.19,51.59
795,TKM,Turkmenistan,2005,100,81.9,100,NA,46.89,61.67,79.84,69.25,44.76,NA,NA,98.5,NA,17.86,21.94,100,99.28,0,NA,9.8,22.2,99.26,46.89,52.05,50,17.86,61.67,-911,-911,9.8,66.07,31.04,45.05
800,UGA,Uganda,2005,12,5.44,50.4,100,24.69,NA,NA,NA,NA,4.34,NA,3.5,NA,88.24,88.6,100,92.81,12,NA,0.56,14.06,65.44,24.69,9.75,31.2,91.31,-911,-911,4.34,0.56,33.29,38.4,36.36
804,UKR,Ukraine,2005,98,58.52,35.53,NA,78.68,27.78,90,17.52,45.9,32.52,15.03,93.5,81.82,20.17,22.39,75.14,48.2,60,34,14.7,69.99,72.28,78.68,64.26,47.76,41.46,27.78,24.52,32.52,14.7,71.74,29.08,46.14
784,ARE,United Arab Emirates,2005,92.5,71.76,NA,NA,92.05,33.86,16.44,0,69.12,NA,41.67,98.5,100,94.8,94.61,97.44,77.34,92,39.2,67.06,92.85,91.09,92.05,82.3,92,96.47,33.86,40.43,-911,67.06,88.48,64.44,74.05
826,GBR,United Kingdom,2005,100,100,15.61,0,97.99,54.24,57.37,24.81,48.64,43.06,0,95,80.39,100,100,92.91,71.58,96,0,97.93,100,86.5,97.99,100,55.8,70.1,54.24,0,43.06,97.93,94.83,62.66,75.53
840,USA,United States of America,2005,100,91.95,23.15,44,93.41,56.45,54.67,29.84,60.18,14.35,9.86,95,100,49.57,59.81,96.03,75.54,80,5.43,63.66,79.68,88.86,93.41,85.82,51.58,63.35,56.45,7.64,14.35,63.66,89.36,50.64,66.13
858,URY,Uruguay,2005,97.5,73.17,52.12,NA,78.29,24.51,18.47,60.86,10.73,100,22.68,98,0,0.02,0.02,100,100,84,21.53,6.67,81.8,99.33,78.29,77.48,68.06,0.02,24.51,22.1,100,6.67,85.03,23.41,48.06
860,UZB,Uzbekistan,2005,100,70.56,100,NA,53.7,51.9,90,51.49,52.61,55.41,NA,84.5,NA,12.87,23.24,99.69,81.29,0,NA,0,38.18,88.5,53.7,54.37,50,12.87,51.9,-911,55.41,0,65.52,26.92,42.36
548,VUT,Vanuatu,2005,21.5,11.53,100,NA,61.87,NA,NA,NA,NA,74.82,47.92,17,33.72,24.34,24.34,100,100,12,93.9,27.06,30.43,72.33,61.87,20.98,56,27.46,-911,70.91,74.82,27.06,51.73,41.34,45.49
862,VEN,Venezuela,2005,100,47.65,100,86,67.5,43.59,47.13,19.22,57.04,33.76,28.57,98.5,85.66,100,100,100,95.68,88,28.76,14.94,49.52,98.06,67.5,48.58,94,92.92,43.59,28.67,33.76,14.94,71.38,48.8,57.84
704,VNM,Viet Nam,2005,92.5,19.12,28.5,43,63.8,44.51,3.03,46.08,41.43,17.25,27.06,34,72.93,36.46,21.17,73.86,55.76,88,25.49,0.14,34.24,54.54,63.8,26.68,58.25,43.39,44.51,26.28,17.25,0.14,48.34,29.28,36.9
887,YEM,Yemen,2005,43,10.77,100,NA,35.57,NA,NA,NA,NA,NA,33.14,64,64.21,3.29,3.29,98.89,82.37,84,36.35,0.49,8.98,81.76,35.57,9.87,92,23.59,-911,34.74,-911,0.49,42.4,21.68,29.97
894,ZMB,Zambia,2005,18,8.41,13.66,NA,20.77,NA,NA,NA,NA,13.28,NA,15,NA,100,100,100,99.64,64,NA,4.2,10.1,71.55,20.77,9.25,38.83,100,-911,-911,13.28,4.2,33.86,45.11,40.61
716,ZWE,Zimbabwe,2005,35.5,8.04,100,100,32.95,NA,NA,NA,NA,23.64,NA,34,NA,99.74,98.96,100,100,4,NA,14.03,26.72,78,32.95,17.38,52,99.52,-911,-911,23.64,14.03,42.78,51.31,47.9
